Titel;Stand;Datum
Bundesbeschluss über den Bau der schweizerischen Eisenbahn-Alpentransversale (Alpentransit-Beschluss);Inkrafttreten am; 01.12.1992
Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz);Abgestimmt am; 01.12.1996
Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz, ArG);Inkrafttreten am; 01.12.2013
Bundesbeschluss betreffend Verlängerung der Geltungsdauer des Bundesbeschlusses über die Bewilligungspflicht für die Eröffnung und Erweiterung von Gasthöfen;Abgestimmt am; 02.03.1952
Bundesbeschluss über die Genehmigung des FATCA-Abkommens zwischen der Schweiz und den Vereinigten Staaten;Inkrafttreten am; 02.06.2014
Bundesgesetz betreffend die Vertretung der Schweiz im Auslande;Abgestimmt am; 03.02.1895
Bundesgesetz über die Aenderung des Dienstverhältnisses und der Versicherung des Bundespersonals;Abgestimmt am; 03.12.1939
Bundesgesetz über die Erfüllung sicherheitspolizeilicher Aufgaben des Bundes;Abgestimmt am; 03.12.1978
Bundesgesetz betreffend die Gewährleistung beim Viehhandel;Abgestimmt am; 04.10.1896
Bundesgesetz betreffend die Disciplinarstrafordnung für die eidgenössische Armee;Abgestimmt am; 04.10.1896
Bundesbeschluss über die Erhebung eines Zollzuschlages auf Treibstoffen zur Finanzierung der Nationalstrassen;Abgestimmt am; 05.03.1961
Bundesgesetz über die Regelung der Beförderung von Gütern und Tieren mit Motorfahrzeugen auf öffentlichen Strassen (Verkehrsteilungsgesetz);Abgestimmt am; 05.05.1935
Bundesbeschluss über den Einbau von Luftschutzräumen in bestehenden Häusern;Abgestimmt am; 05.10.1952
Ausländergesetz (AuG);Abgestimmt am; 06.06.1982
Bundesbeschluss betreffend den Ankauf der schweizerischen Centralbahn;Abgestimmt am; 06.12.1891
Bundesgesetz über die Alters- und Hinterlassenenversicherung;Abgestimmt am; 06.12.1931
Bundesgesetz über die Besteuerung des Tabaks;Abgestimmt am; 06.12.1931
Bundesgesetz über die Krankenversicherung;Abgestimmt am; 06.12.1987
Bundesbeschluss betreffend das Konzept BAHN 2000;Inkrafttreten am; 06.12.1987
Bundesgesetz über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Mindestumwandlungssatz);Abgestimmt am; 07.03.2010
Bundesbeschluss über die Genehmigung des Umfassenden Wirtschaftspartnerschaftsabkommens zwischen den EFTA-Staaten und Indonesien;Abgestimmt am; 07.03.2021
Bundesgesetz über elektronische Identifizierungsdienste (E-ID-Gesetz, BGEID);Abgestimmt am; 07.03.2021
Bundesgesetz über den elektronischen Identitätsnachweis und andere elektronische Nachweise (E-ID-Gesetz, BGEID);Ref. Zustandegekommen; 07.05.2025
Obligationenrecht (Miete);Abgestimmt am; 08.02.2004
Bundesgesetz über die Erhöhung des Treibstoffzolles;Inkrafttreten am; 08.03.1993
Bundesbeschluss betreffend die Genehmigung des zwischen der Schweizerischen Eidgenossenschaft und der Italienischen Republik abgeschlossenen Abkommens über die Nutzbarmachung der Wasserkraft des Spöl;Inkrafttreten am; 08.04.1959
Bundesgesetz betreffend die Aenderung des Beschlusses der Bundesversammlung über Milch, Milchprodukte und Speisefette (Milchbeschluss);Inkrafttreten am; 08.06.1965
Bundesgesetz über die Aenderung des Generalzolltarifs;Abgestimmt am; 08.06.1975
Regierungs- und Verwaltungsorganisationsgesetz (RVOG);Abgestimmt am; 09.06.1996
Bundesgesez betreffend die Militärpflichtersatzsteuer;Abgestimmt am; 09.07.1876
Bundesbeschluss über die ärztliche Verschreibung von Heroin;Inkrafttreten am; 10.10.1998
Bundesgesetz über den Schutz der öffentlichen Ordnung;Abgestimmt am; 11.03.1934
Bundesgesetz über die Buchpreisbindung (BuPG);Abgestimmt am; 11.03.2012
Bundesbeschluss über die Genehmigung der in den Multilateralen Handelsverhandlungen unter der Aegide des GATT (Uruguay-Runde) abgeschlossenen Abkommen;Ref. nicht zustandegekommen; 11.04.1995
Bundesgesetz betreffend die Ergänzung des Bundesstrafrechtes vom 4. Februar 1853;Abgestimmt am; 11.05.1884
Bundesbeschluss betreffend Gewährung eines Beitrags von 10'000 Franken an die Kanzleikosten der schweizerischen Gesandtschaft in Washington;Abgestimmt am; 11.05.1884
Bundesbeschluss betreffend die Patenttaxen der Handelsreisenden;Abgestimmt am; 11.05.1884
Bundesgesetz betreffend die Organisation des eidgenössischen Justiz- und Polizeidepartements;Abgestimmt am; 11.05.1884
Bundesgesetz betreffend Ergänzung des Bundesstrafrechtes vom 4. Februar 1853 in bezug auf die anarchistischen Verbrechen;Inkrafttreten am; 11.07.1906
Bundesgesetz über die Armee und die Militärverwaltung (Militärgesetz, MG);Ref. nicht zustandegekommen; 11.08.2016
Bundesgesetz über steuerliche Massnahmen zur Stärkung der Wettbewerbsfähigkeit des Unternehmensstandorts Schweiz (Unternehmenssteuerreformgesetz III);Abgestimmt am; 12.02.2017
Milchwirtschaftsbeschluss 1988 (MWB 1988);Abgestimmt am; 12.03.1995
Landwirtschaftsgesetz;Abgestimmt am; 12.03.1995
Bundesgesetz über schweizerische Truppen für friedenserhaltende Operationen (BTFO);Abgestimmt am; 12.06.1994
Bundesgesetz betreffend die Nationalratswahlkreise;Inkrafttreten am; 12.09.1902
Bundesgesetz über ein Massnahmenpaket zugunsten der Medien;Abgestimmt am; 13.02.2022
Bundesgesetz über die Stempelabgaben (StG);Abgestimmt am; 13.02.2022
Bundesbeschluss über Massnahmen zur Stärkung der Wirtschaft des Kantons Graubünden durch Gewährung einer Hilfe an die Holzverzuckerungs-AG;Abgestimmt am; 13.05.1956
Bundesgesetz über die Kranken- und Unfallversicherung;Inkrafttreten am; 13.06.1911
Bundesbeschluss betreffend ein Abkommen zwischen der Schweiz und der Internationalen Entwicklungsorganisation (IDA) über ein Darlehen von 200 Millionen Franken;Abgestimmt am; 13.06.1976
Bundesgesetz über die Raumplanung;Abgestimmt am; 13.06.1976
Bundesgesetz über die Mutterschaftsversicherung (MSVG);Abgestimmt am; 13.06.1999
Bundesgesetz über die Invalidenversicherung (IVG);Abgestimmt am; 13.06.1999
Bundesgesetz über die Verminderung von Treibhausgasemissionen (CO₂-Gesetz);Abgestimmt am; 13.06.2021
Bundesgesez über Jagd und Vogelschuz;Inkrafttreten am; 14.02.1876
Bundesbeschluss über die Ordnung der schweizerischen Zuckerwirtschaft;Abgestimmt am; 14.03.1948
Bundesgesetz betreffend die arbeitsunfähig gewordenen eidgenössischen Beamten und Angestellten;Abgestimmt am; 15.03.1891
Bundesgesetz über die Berufsbildung;Inkrafttreten am; 15.04.1965
Bundesgesetz über den Automobil- und Fahrradverkehr;Abgestimmt am; 15.05.1927
Bundesgesetz über die Transplantation von Organen, Geweben und Zellen (Transplantationsgesetz);Abgestimmt am; 15.05.2022
Militärstrafgesetz (MStG);Inkrafttreten am; 15.07.1991
Bundesbeschluss über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands);Inkrafttreten am; 15.08.2019
Bundesgesez betreffend den Militärpflichtersaz;Inkrafttreten am; 15.10.1878
Bundesgesetz über die Bundesanwaltschaft;Inkrafttreten am; 15.10.1889
Bundesgesez betreffend Gewährung von Subsidien für Alpenbahnen;Inkrafttreten am; 16.02.1879
Bundesgesetz über die Alters- und Hinterlassenenversicherung (AHVG) (11. AHV-Revision);Abgestimmt am; 16.05.2004
Bundesgesetz über die Aenderung von Erlassen im Bereich der Ehe- und Familienbesteuerung, der Wohneigentumsbesteuerung und der Stempelabgaben;Abgestimmt am; 16.05.2004
Bundesgesetz betreffend Abänderung von Art. 41 des Fabrikgesetzes vom 18. Juni 1914 / 27. Juni 1919;Abgestimmt am; 17.02.1924
Bundesbeschluss über den Beitritt der Schweiz zu den Institutionen von Bretton Woods;Inkrafttreten am; 17.05.1992
Bundesgesetz über die Krankenversicherung (KVG) (Managed Care);Abgestimmt am; 17.06.2012
Bundesbeschluss über die Ratifikation des am 7. August 1921 in Paris unterzeichneten Abkommens zwischen der Schweiz und Frankreich zur Regelung der Handelsbeziehungen und des freundnachbarlichen Grenzverkehrs zwischen den ehemaligen Freizonen Hochsavoyens sowie der Landschaft Gex und den angrenzenden schweizerischen Kantonen;Abgestimmt am; 18.02.1923
Bundesgesetz über den Fonds zur Beschaffung des Kampfflugzeugs Gripen (Gripen-Fonds-Gesetz);Abgestimmt am; 18.05.2014
Bundesgesetz über die Revision des Bundesgesetzes betreffend den Postverkehr;Abgestimmt am; 19.04.1953
Bundesgesetz betreffend die Auslieferung gegenüber dem Auslande;Inkrafttreten am; 19.05.1892
Bundesgesetz über die Tabakbesteuerung;Abgestimmt am; 19.05.1968
Bundesgesetz über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz) (Härtefälle, Arbeitslosenversicherung, familienergänzende Kinderbetreuung, Kulturschaffende, Veranstaltungen);Inkrafttreten am; 20.03.2021
Bundesgesetz betreffend die Kranken- und Unfallversicherung mit Einschluss der Militärversicherung;Abgestimmt am; 20.05.1900
Bundesbeschluss über ausserordentliche Hilfeleistungen an kriegsgeschädigte Auslandschweizer;Abgestimmt am; 20.06.1954
Bundesbeschluss über den Fähigkeitsausweis im Schuhmacher-, Coiffeur-, Sattler- und Wagnergewerbe;Abgestimmt am; 20.06.1954
Bundesgesetz betreffend die Ordnung des Arbeitsverhältnisses;Abgestimmt am; 21.03.1920
Bundesgesez betreffend die politischen Rechte der Niedergelassenen und Aufenthalter und den Verlust der politischen Rechte der Schweizerbürger;Abgestimmt am; 21.10.1877
Bundesgesez betreffend den Militärpflichtersaz;Abgestimmt am; 21.10.1877
Bundesgesetz betreffend die Erwerbung und den Betrieb von Eisenbahnen für Rechnung des Bundes und die Organisation der Verwaltung der schweizerischen Bundesbahnen;Inkrafttreten am; 22.02.1898
Bundesgesetz über die Ergänzung des Bundesgesetzes vom 13. Juni 1928 betreffend Massnahmen gegen die Tuberkulose;Abgestimmt am; 22.05.1949
Bundesbeschluss über die Innovationsrisikogarantie zugunsten von kleinen und mittleren Unternehmen;Abgestimmt am; 22.09.1985
Elektrizitätsmarktgesetz (EMG);Abgestimmt am; 22.09.2002
Bundesgesetz über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Reform der beruflichen Vorsorge);Abgestimmt am; 22.09.2024
Bundesgesez über die Ausgabe und Einlösung von Banknoten;Abgestimmt am; 23.04.1876
Bundesgesez über die politische Stimmberechtigung der Schweizerbürger;Abgestimmt am; 23.05.1875
Bundesgesetz betreffend die Arbeitszeit beim Betriebe der Eisenbahnen und anderer Verkehrsanstalten;Inkrafttreten am; 23.11.1920
Bundesgesetz betreffend Abänderung des Bundesstrafrechts vom 4. Februar 1853 in bezug auf Verbrechen gegen die verfassungsmässige Ordnung und innere Sicherheit und in bezug auf die Einführung des bedingten Strafvollzugs;Abgestimmt am; 24.09.1922
Bundesgesetz über die Reform der Altersvorsorge 2020;Abgestimmt am; 24.09.2017
Bundesgesetz über die Abgabe für die Benützung von Nationalstrassen (Nationalstrassenabgabegesetz, NSAG);Abgestimmt am; 24.11.2013
Bundesbeschluss über den Ausbauschritt 2023 für die Nationalstrassen;Abgestimmt am; 24.11.2024
Obligationenrecht (Mietrecht: Kündigung wegen Eigenbedarfs);Abgestimmt am; 24.11.2024
Obligationenrecht (Mietrecht: Untermiete);Abgestimmt am; 24.11.2024
Bundesbeschluss über den Transport von Personen und Sachen mit Motorfahrzeugen auf öffentlichen Strassen (Autotransportordnung);Abgestimmt am; 25.02.1951
Bundesgesetz über den Erwerb von Grundstücken durch Personen im Ausland (BewG);Abgestimmt am; 25.06.1995
Bundesgesetz über die Verrechnungssteuer (Verrechnungssteuergesetz, VStG) (Stärkung des Fremdkapitalmarkts);Abgestimmt am; 25.09.2022
Bundesgesetz betreffend Ergänzung des Bundesgesetzes über das Bundesstrafrecht der schweizerischen Eidgenossenschaft vom 4. Februar 1853;Abgestimmt am; 25.10.1903
Bundesgesetz über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz);Inkrafttreten am; 26.09.2020
Schweizerisches Zivilgesetzbuch (Ehe für alle);Abgestimmt am; 26.09.2021
Bundesbeschluss betreffend die Vollziehung des Artikels 27 der Bundesverfassung;Abgestimmt am; 26.11.1882
Bundesgesetz betreffend gebrannte Wasser;Inkrafttreten am; 27.05.1887
Bundesgesetz über die Abänderung des Bundesgesetzes betreffend die Taggelder und Reiseentschädigungen des Nationalrates und der Kommission der eidgenössischen Räte;Abgestimmt am; 27.05.1962
Bundesgesetz über die Beiträge an die Infrastrukturkosten der Fraktionen und der Mitglieder der eidgenössischen Räte (Infrastrukturgesetz);Abgestimmt am; 27.09.1992
Bundesgesetz über die Bezüge der Mitglieder der eidgenössischen Räte und über die Beiträge an die Fraktionen (Entschädigungsgesetz);Abgestimmt am; 27.09.1992
Bundesbeschluss über die Beschaffung neuer Kampfflugzeuge;Abgestimmt am; 27.09.2020
Bundesgesetz über die Jagd und den Schutz wildlebender Säugetiere und Vögel (Jagdgesetz, JSG);Abgestimmt am; 27.09.2020
Bundesgesetz über die direkte Bundessteuer (DBG) (Steuerliche Berücksichtigung der Kinderdrittbetreuungskosten);Abgestimmt am; 27.09.2020
Bundesgesetz über die Errichtung der schweizerischen Bundesbank;Abgestimmt am; 28.02.1897
Bundesgesetz über die vorübergehende Herabsetzung der Besoldungen, Gehälter und Löhne der im Dienste des Bundes stehenden Personen;Abgestimmt am; 28.05.1933
Bundesgesetz über die Förderung der Hochschulen und die Forschung (HFG);Abgestimmt am; 28.05.1978
Zeitgesetz;Abgestimmt am; 28.05.1978
Bundesgesetz über den Schutz der Schwangerschaft und die Strafbarkeit des Schwangerschaftsabbruchs;Abgestimmt am; 28.05.1978
Bundesbeschluss über die inländische Zuckerwirtschaft;Abgestimmt am; 28.09.1986
Bundesbeschluss betreffend die Verlängerung der Geltungsdauer und die Abänderung des Bundesbeschlusses über Massnahmen zur Förderung der Wohnbautätigkeit;Abgestimmt am; 29.01.1950
Bundesgesetz über die Mitwirkung der Schweiz an den Institutionen von Bretton Woods;Inkrafttreten am; 29.05.1992
Asylgesetz (AsylG) (Dringliche Änderungen des Asylgesetzes);Inkrafttreten am; 29.09.2012
Bundesgesetz über die Umsetzung des FATCA-Abkommens zwischen der Schweiz und den Vereinigten Staaten (FATCA-Gesetz);Inkrafttreten am; 30.06.2014
Bundesgesez betreffend Massnahmen gegen gemeingefährliche Epidemien;Abgestimmt am; 30.07.1882
Bundesgesez betreffend Erhöhung des Eingangszolles auf einzelnen Waarengattungen;Inkrafttreten am; 30.10.1879
Bundesbeschluss über die Genehmigung des Abkommens zwischen der Schweiz und Deutschland über Zusammenarbeit in den Bereichen Steuern und Finanzmarkt und des Protokolls zur Änderung dieses Abkommens;Ref. nicht zustandegekommen; 30.10.2012
Bundesgesetz über die Betäubungsmittel und die psychotropen Stoffe (Betäubungsmittelgesetz, BetmG);Abgestimmt am; 30.11.2008
Bundesbeschluss über die Festsetzung des Beitrages des Bundes an die Alters- und Hinterlassenenversicherung;Inkrafttreten am; 31.01.1975
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
